zip,Type,HH
1000,A01,116
1000,B08,3
1000,E16,12
1000,G27,4
1000,H29,1529
1000,H30,20536
1000,H31,4515
1000,H32,2648
1000,H33,9174
1020,A03,217
1020,A04,13
1020,C09,31
1020,F21,2
1020,G25,830
1020,G26,137
1020,G27,1
1020,G28,4258
1020,H29,1852
1020,H31,1581
1020,H32,7606
1020,H33,6761
1030,B06,1
1030,B07,1
1030,C09,1
1030,F23,558
1030,G25,595
1030,G27,2
1030,G28,1685
1030,H29,7384
1030,H30,92
1030,H31,540
1030,H32,19937
1030,H33,19661
1040,F21,91
1040,G25,92
1040,G28,233
1040,H29,5396
1040,H30,5929
1040,H32,10771
1040,H33,23
1050,F21,185
1050,G28,929
1050,H29,12844
1050,H30,24764
1050,H31,1101
1050,H32,5798
1050,H33,289
1060,G27,18
1060,H29,519
1060,H30,8319
1060,H31,427
1060,H32,4649
1060,H33,9254
1070,A03,433
1070,B06,2
1070,B08,1
1070,C09,80
1070,C10,3
1070,D12,2
1070,D14,10
1070,E17,39
1070,F21,2965
1070,F23,1005
1070,G25,4461
1070,G26,415
1070,G27,45
1070,G28,6766
1070,H30,677
1070,H31,189
1070,H32,15402
1070,H33,12746
1080,B05,5
1080,C09,32
1080,F21,1095
1080,F23,84
1080,G25,828
1080,G26,12
1080,G28,9124
1080,H29,15
1080,H31,1
1080,H32,5781
1080,H33,17509
1081,G28,2507
1081,H32,2987
1081,H33,2864
1082,A03,407
1082,B06,2
1082,B08,20
1082,C09,12
1082,F21,738
1082,F23,2
1082,G25,4279
1082,G26,829
1082,G28,1278
1082,H32,1556
1083,D15,350
1083,F21,282
1083,G25,1594
1083,G28,3388
1083,H29,41
1083,H31,1093
1083,H32,3495
1090,A01,1
1090,A03,907
1090,B05,53
1090,B06,59
1090,C09,1
1090,G25,3526
1090,G28,4488
1090,H30,95
1090,H32,10835
1120,A03,38
1120,A04,49
1120,C09,205
1120,F21,724
1120,F22,157
1120,G25,4171
1120,G26,519
1120,G27,24
1120,H30,1
1130,C11,1
1130,E16,100
1130,F23,110
1130,F24,438
1130,G25,875
1130,G26,58
1130,G27,33
1130,H30,52
1140,B05,10
1140,F21,1626
1140,F22,414
1140,F23,6
1140,G25,1903
1140,G26,464
1140,G27,52
1140,G28,5122
1140,H29,57
1140,H31,124
1140,H32,5428
1150,A01,1288
1150,A03,3839
1150,A04,922
1150,B06,4
1150,C09,11
1150,D15,282
1150,E16,150
1150,E17,2
1150,F21,745
1150,G25,218
1150,G26,393
1150,G28,302
1150,H29,9338
1160,A01,51
1160,A03,2210
1160,B05,1
1160,C09,21
1160,E18,1
1160,E20,2
1160,F21,653
1160,G25,5097
1160,G26,5
1160,G28,2180
1160,H29,2228
1160,H30,294
1160,H32,964
1170,A01,165
1170,A03,1289
1170,A04,7
1170,C09,141
1170,D13,1
1170,E16,1
1170,E18,1
1170,E19,1
1170,F21,2043
1170,F22,9
1170,G25,2103
1170,G28,1438
1170,H29,3299
1170,H31,190
1180,A01,3148
1180,A03,3704
1180,A04,121
1180,B05,1
1180,C09,265
1180,E16,481
1180,F21,1088
1180,F22,286
1180,F24,1
1180,G25,3069
1180,G26,1048
1180,G27,105
1180,G28,2347
1180,H29,14306
1180,H30,11
1180,H32,4464
1190,A03,428
1190,E16,72
1190,F21,808
1190,F22,125
1190,F23,321
1190,G25,492
1190,G27,34
1190,G28,3478
1190,H29,3757
1190,H30,43
1190,H32,8514
1190,H33,4608
1200,A01,219
1200,A03,562
1200,B08,1
1200,C09,547
1200,D15,188
1200,F21,809
1200,F22,435
1200,G25,972
1200,G26,523
1200,G27,5
1200,G28,3881
1200,H29,14135
1200,H30,640
1200,H31,1417
1200,H32,3
1210,G27,1
1210,H30,1157
1210,H31,426
1210,H32,137
1210,H33,9131
1560,A01,15
1560,A02,1148
1560,A03,2108
1560,B06,41
1560,B08,15
1560,C09,163
1560,E18,5
1560,E19,2
1560,G26,592
1600,A01,7
1600,A02,527
1600,A03,240
1600,B05,222
1600,B06,265
1600,B07,422
1600,B08,769
1600,C09,293
1600,C11,113
1600,D13,6
1600,D15,1749
1600,E18,250
1600,E19,36
1600,F24,436
1600,G25,120
1600,G26,3410
1601,B06,29
1601,C09,1
1601,C10,82
1601,C11,149
1601,D15,155
1601,E18,1
1601,F24,1561
1601,G25,63
1601,G26,498
1602,A02,57
1602,A03,361
1602,B06,8
1602,B07,415
1602,B08,289
1602,C09,3
1602,D13,34
1602,E18,8
1602,G26,199
1630,A01,249
1630,A03,1429
1630,C09,3
1630,G25,33
1630,G26,213
1640,A01,2555
1640,A02,1000
1640,A03,1227
1640,B05,17
1640,B06,8
1640,B08,331
1640,C09,89
1640,D13,1
1640,D15,1202
1640,E20,1
1640,F24,13
1640,G26,351
1640,H29,8
1650,A01,169
1650,A02,222
1650,A03,1042
1650,B05,2
1650,B06,37
1650,B08,1
1650,C09,76
1650,D15,186
1650,E16,19
1650,E18,1
1650,G26,436
1700,A02,1244
1700,A03,2490
1700,B05,271
1700,B06,172
1700,B07,43
1700,B08,498
1700,C09,550
1700,C10,68
1700,D13,60
1700,D14,156
1700,D15,630
1700,E16,25
1700,F22,56
1700,G26,2731
1700,H29,27
1701,A02,150
1701,A03,283
1701,B06,8
1701,B08,289
1701,C09,346
1701,D13,4
1701,D15,610
1701,E16,1
1701,G26,151
1702,A02,129
1702,A03,219
1702,B06,11
1702,B08,650
1702,C09,127
1702,C10,87
1702,D13,2
1702,D15,653
1702,E17,6
1702,F21,213
1702,F22,25
1702,F24,2
1702,G26,728
1702,G28,209
1731,A02,176
1731,A03,273
1731,A04,5
1731,B05,16
1731,B06,30
1731,B07,74
1731,B08,601
1731,C09,18
1731,C10,4
1731,D15,108
1731,E20,5
1731,G25,239
1731,G26,2264
1731,G28,703
1731,H32,79
1780,A01,361
1780,A02,1140
1780,A03,225
1780,B06,25
1780,C09,224
1780,D12,4
1780,D13,1
1780,D15,87
1780,G25,1582
1780,G26,2387
1780,H29,63
1800,A02,69
1800,A03,350
1800,B05,136
1800,B06,272
1800,B07,6
1800,B08,509
1800,C09,2
1800,C10,568
1800,C11,2023
1800,D12,2
1800,D15,2565
1800,E18,208
1800,F21,199
1800,F22,445
1800,F23,756
1800,F24,561
1800,G25,1811
1800,G26,3345
1800,G27,802
1800,G28,186
1800,H31,548
1800,H32,3
1800,H33,48
1830,A02,9
1830,B05,5
1830,B06,130
1830,B08,188
1830,C09,56
1830,C10,16
1830,C11,191
1830,D15,811
1830,E16,2
1830,F22,238
1830,F23,91
1830,F24,69
1830,G25,7
1830,G26,1497
1830,G27,2
1831,B06,10
1831,B08,52
1831,C09,48
1831,C11,633
1831,D15,454
1831,E16,3
1831,F22,38
1831,F23,15
1831,F24,85
1831,G25,25
1831,G26,607
1850,A01,8
1850,A02,1755
1850,A03,372
1850,B05,77
1850,B06,154
1850,B07,6
1850,B08,1716
1850,C09,188
1850,C10,8
1850,C11,14
1850,D13,39
1850,D15,1123
1850,E19,6
1850,E20,17
1850,F23,354
1850,F24,8
1850,G26,695
1853,A03,8
1853,B06,67
1853,B07,2
1853,D13,32
1853,E18,1
1853,G25,1364
1853,G26,3572
1853,G27,50
1853,G28,388
1930,A02,221
1930,A03,225
1930,B06,50
1930,B08,1154
1930,C09,60
1930,C10,191
1930,C11,100
1930,D13,36
1930,D15,759
1930,F21,1
1930,G25,885
1930,G26,1958
1930,G27,923
1932,A01,15
1932,A03,789
1932,B05,10
1932,B06,138
1932,B08,648
1932,C09,7
1932,C10,59
1932,D15,156
1932,F24,73
1932,G26,223
1932,H29,722
1932,H30,67
1950,A01,1185
1950,A02,2
1950,A03,2522
1950,B08,95
1950,D15,36
1950,F24,4
1950,G25,439
1950,G26,592
1950,G28,66
1950,H29,255
1970,A01,721
1970,A03,3563
1970,A04,1
1970,B08,188
1970,C09,22
1970,D15,121
1970,F22,460
1970,G26,78
3080,A01,1605
3080,A02,1768
3080,A03,1333
3080,B05,150
3080,B06,141
3080,B07,314
3080,B08,163
3080,C09,151
3080,C10,341
3080,D13,50
3080,D15,16
3080,E18,52
3080,E19,26
3080,G25,1410
3080,G26,503
3080,H29,7
3090,A01,1195
3090,A02,4177
3090,A03,1832
3090,A04,33
3090,B05,48
3090,B06,169
3090,B07,407
3090,B08,112
3090,C09,208
3090,C10,54
3090,D13,137
3090,D15,114
3090,E17,48
3090,E18,58
3090,E19,5
3090,E20,62
3090,G26,31
3090,G27,735
3090,H29,48
